connected to mqtt://192.168.0.153:1883  (read-only scan)

--- 0x0000..0x07FF   explicit range
  0x0026 =  39322   signed -26214   <-- non-zero
  0x0027 =      0   signed      0
  0x0028 =      0   signed      0
  0x0029 =      0   signed      0
  0x002A =      0   signed      0
  0x002B =      0   signed      0
  0x002C =      0   signed      0
  0x002D =      0   signed      0
  0x002E =      0   signed      0
  0x002F =      0   signed      0
  0x0030 =      0   signed      0
  0x0031 =      0   signed      0
  0x0032 =      0   signed      0
  0x0033 =      0   signed      0
  0x0034 =      0   signed      0
  0x0035 =      0   signed      0
  0x0036 =      0   signed      0
  0x0037 =      0   signed      0
  0x0038 =      0   signed      0
  0x0039 =      0   signed      0
  0x003A =      0   signed      0
  0x003B =      0   signed      0
  0x003C =      0   signed      0
  0x003D =      0   signed      0
  0x003E =      0   signed      0
  0x003F =      0   signed      0
  0x0040 =      0   signed      0
  0x0041 =      0   signed      0
  0x0042 =      0   signed      0
  0x0043 =      0   signed      0
  0x0044 =      0   signed      0
  0x0045 =  16256   signed  16256   <-- non-zero
  0x0046 =      0   signed      0
  0x0047 =      0   signed      0
  0x0048 =      0   signed      0
  0x0049 =      0   signed      0
  0x004A =      0   signed      0
  0x004B =      0   signed      0
  0x004C =      0   signed      0
  0x004D =      0   signed      0
  0x004E =      0   signed      0
  0x004F =      0   signed      0
  0x0050 =      0   signed      0
  0x0051 =      0   signed      0
  0x0052 =      0   signed      0
  0x0053 =      0   signed      0
  0x0054 =      0   signed      0
  0x0055 =      0   signed      0
  0x0056 =      0   signed      0
  0x0057 =      0   signed      0
  0x0058 =      0   signed      0
  0x0059 =      0   signed      0
  0x005A =      0   signed      0
  0x005B =      0   signed      0
  0x005C =      0   signed      0
  0x005D =      0   signed      0
  0x005E =      0   signed      0
  0x005F =      0   signed      0
  0x0060 =      0   signed      0
  0x0061 =      0   signed      0
  0x0062 =      0   signed      0
  0x0063 =      0   signed      0
  0x0064 =      0   signed      0
  0x0065 =      0   signed      0
  0x0066 =      0   signed      0
  0x0067 =      0   signed      0
  0x0068 =      0   signed      0
  0x0069 =      0   signed      0
  0x006A =      0   signed      0
  0x006B =      0   signed      0
  0x006C =      0   signed      0
  0x006D =      0   signed      0
  0x006E =      0   signed      0
  0x006F =      0   signed      0
  0x0070 =      0   signed      0
  0x0071 =      0   signed      0
  0x0072 =      0   signed      0
  0x0073 =      0   signed      0
  0x0074 =      0   signed      0
  0x0075 =      0   signed      0
  0x0076 =      0   signed      0
  0x0077 =      0   signed      0
  0x0078 =      0   signed      0
  0x0079 =      0   signed      0
  0x007A =      0   signed      0
  0x007B =      0   signed      0
  0x007C =      0   signed      0
  0x007D =      0   signed      0
  0x007E =      0   signed      0
  0x007F =      0   signed      0
  0x0080 =      0   signed      0
  0x0081 =      0   signed      0
  0x0082 =      0   signed      0
  0x0083 =      0   signed      0
  0x0084 =      0   signed      0
  0x0085 =      0   signed      0
  0x0086 =      0   signed      0
  0x0087 =      0   signed      0
  0x0088 =      0   signed      0
  0x0089 =      0   signed      0
  0x008A =      0   signed      0
  0x008B =      0   signed      0
  0x008C =      0   signed      0
  0x008D =      0   signed      0
  0x008E =      0   signed      0
  0x008F =      0   signed      0
  0x0090 =      0   signed      0
  0x0091 =      0   signed      0
  0x0092 =      0   signed      0
  0x0093 =      0   signed      0
  0x0094 =      0   signed      0
  0x0095 =      0   signed      0
  0x0096 =      0   signed      0
  0x0097 =      0   signed      0
  0x0098 =      0   signed      0
  0x0099 =      0   signed      0
  0x009A =      0   signed      0
  0x009B =      0   signed      0
  0x009C =      0   signed      0
  0x009D =      0   signed      0
  0x009E =      0   signed      0
  0x009F =      0   signed      0
  0x00A0 =      0   signed      0
  0x00A1 =      0   signed      0
  0x00A2 =      0   signed      0
  0x00A3 =      0   signed      0
  0x00A4 =      0   signed      0
  0x00A5 =      0   signed      0
  0x00A6 =      0   signed      0
  0x00A7 =      0   signed      0
  0x00A8 =      0   signed      0
  0x00A9 =      0   signed      0
  0x00AA =      0   signed      0
  0x00AB =      0   signed      0
  0x00AC =      0   signed      0
  0x00AD =      0   signed      0
  0x00AE =      0   signed      0
  0x00AF =      0   signed      0
  0x00B0 =      0   signed      0
  0x00B1 =      0   signed      0
  0x00B2 =      0   signed      0
  0x00B3 =      0   signed      0
  0x00B4 =      0   signed      0
  0x00B5 =      0   signed      0
  0x00B6 =      0   signed      0
  0x00B7 =      0   signed      0
  0x00B8 =      0   signed      0
  0x00B9 =      0   signed      0
  0x00BA =      0   signed      0
  0x00BB =      0   signed      0
  0x00BC =      0   signed      0
  0x00BD =      0   signed      0
  0x00BE =      0   signed      0
  0x00BF =      0   signed      0
  0x00C0 =      0   signed      0
  0x00C1 =      0   signed      0
  0x00C2 =      0   signed      0
  0x00C3 =      0   signed      0
  0x00C4 =      0   signed      0
  0x00C5 =      0   signed      0
  0x00C6 =      0   signed      0
  0x00C7 =      0   signed      0
  0x00C8 =      0   signed      0
  0x00C9 =      0   signed      0
  0x00CA =      0   signed      0
  0x00CB =      0   signed      0
  0x00CC =      0   signed      0
  0x00CD =      0   signed      0
  0x00CE =      0   signed      0
  0x00CF =      0   signed      0
  0x00D0 =      0   signed      0
  0x00D1 =      0   signed      0
  0x00D2 =      0   signed      0
  0x00D3 =      0   signed      0
  0x00D4 =      0   signed      0
  0x00D5 =      0   signed      0
  0x00D6 =      0   signed      0
  0x00D7 =      0   signed      0
  0x00D8 =      0   signed      0
  0x00D9 =      0   signed      0
  0x00DA =      0   signed      0
  0x00DB =      0   signed      0
  0x00DC =      0   signed      0
  0x00DD =      0   signed      0
  0x00DE =      0   signed      0
  0x00DF =      0   signed      0
  0x00E0 =      0   signed      0
  0x00E1 =      0   signed      0
  0x00E2 =      0   signed      0
  0x00E3 =      0   signed      0
  0x00E4 =      0   signed      0
  0x00E5 =      0   signed      0
  0x00E6 =      0   signed      0
  0x00E7 =      0   signed      0
  0x00E8 =      0   signed      0
  0x00E9 =      0   signed      0
  0x00EA =      0   signed      0
  0x00EB =      0   signed      0
  0x00EC =      0   signed      0
  0x00ED =      0   signed      0
  0x00EE =      0   signed      0
  0x00EF =      0   signed      0
  0x00F0 =  55973   signed  -9563   <-- non-zero
  0x00F1 =      0   signed      0
  0x00F2 =      0   signed      0
  0x00F3 =      0   signed      0
  0x00F4 =      0   signed      0
  0x00F5 =      0   signed      0
  0x00F6 =      0   signed      0
  0x00F7 =      0   signed      0
  0x00F8 =      0   signed      0
  0x00F9 =      0   signed      0
  0x00FA =      0   signed      0
  0x00FB =      0   signed      0
  0x00FC =      0   signed      0
  0x00FD =      0   signed      0
  0x00FE =      0   signed      0
  0x00FF =     84   signed     84   <-- non-zero
  0x0100 =   2703   signed   2703   <-- non-zero
  0x0101 =      0   signed      0
  0x0102 =      0   signed      0
  0x0103 =      0   signed      0
  0x0104 =      0   signed      0
  0x0105 =      0   signed      0
  0x0106 =      0   signed      0
  0x0107 =      0   signed      0
  0x0108 =      0   signed      0
  0x0109 =      0   signed      0
  0x010A =      0   signed      0
  0x010B =      0   signed      0
  0x010C =      0   signed      0
  0x010D =      0   signed      0
  0x010E =      0   signed      0
  0x010F =      0   signed      0
  0x0110 =  17579   signed  17579   <-- non-zero
  0x0111 =  32768   signed -32768   <-- non-zero
  0x0112 =  16928   signed  16928   <-- non-zero
  0x0113 =      0   signed      0
  0x0114 =      0   signed      0
  0x0115 =      0   signed      0
  0x0116 =      0   signed      0
  0x0117 =      0   signed      0
  0x0118 =      0   signed      0
  0x0119 =      0   signed      0
  0x011A =      0   signed      0
  0x011B =      0   signed      0
  0x011C =      0   signed      0
  0x011D =      0   signed      0
  0x011E =      0   signed      0
  0x011F =      0   signed      0
  0x0120 =  17683   signed  17683   <-- non-zero
  0x0121 =  57344   signed  -8192   <-- non-zero
  0x0122 =  17036   signed  17036   <-- non-zero
  0x0123 =      0   signed      0
  0x0124 =      0   signed      0
  0x0125 =      0   signed      0
  0x0126 =      0   signed      0
  0x0127 =      0   signed      0
  0x0128 =      0   signed      0
  0x0129 =      0   signed      0
  0x012A =      0   signed      0
  0x012B =      0   signed      0
  0x012C =      0   signed      0
  0x012D =      0   signed      0
  0x012E =      0   signed      0
  0x012F =      0   signed      0
  0x0130 =  17713   signed  17713   <-- non-zero
  0x0131 =  57344   signed  -8192   <-- non-zero
  0x0132 =  17076   signed  17076   <-- non-zero
  0x0133 =      0   signed      0
  0x0134 =      0   signed      0
  0x0135 =      0   signed      0
  0x0136 =      0   signed      0
  0x0137 =      0   signed      0
  0x0138 =      0   signed      0
  0x0139 =      0   signed      0
  0x013A =      0   signed      0
  0x013B =      0   signed      0
  0x013C =      0   signed      0
  0x013D =      0   signed      0
  0x013E =      0   signed      0
  0x013F =      0   signed      0
  0x0140 =      0   signed      0
  0x0141 =      0   signed      0
  0x0142 =      0   signed      0
  0x0143 =      0   signed      0
  0x0144 =      0   signed      0
  0x0145 =      0   signed      0
  0x0146 =      0   signed      0
  0x0147 =      0   signed      0
  0x0148 =      0   signed      0
  0x0149 =      0   signed      0
  0x014A =      0   signed      0
  0x014B =      0   signed      0
  0x014C =      0   signed      0
  0x014D =      0   signed      0
  0x014E =      0   signed      0
  0x014F =      0   signed      0
